country_name_short,country_name,party_name_short,party_name_english,party_name,party_name_ascii,family_name_short,family_name,left_right,state_market,liberty_authority,eu_anti_pro,cmp,euprofiler,ees,castles_mair,huber_inglehart,ray,benoit_laver,chess,country_id,party_id,family_id
AUS,Australia,FS-NSW,Farmers and Settlers (NSW),Farmers and Settlers (NSW),Farmers and Settlers (NSW),agr,Agrarian,5.3,4.9,6.5,,,,,,,,,,33,1913,2
AUS,Australia,FTP,Free Trade Party,Free Trade Party,Free Trade Party,lib,Liberal,6.0,6.7,3.6,,,,,,,,,,33,1938,6
AUS,Australia,INAT,Independet Nationalist,Independet Nationalist,Independet Nationalist,code,to be coded,,,,,,,,,,,,,33,1903,28
AUS,Australia,IPP-V,Independent Protectionist Party (Vic),Independent Protectionist Party (Vic),Independent Protectionist Party (Vic),con,Conservative,7.4,6.4,7.0,,,,,,,,,,33,1917,26
AUS,Australia,IUAP-NSW,Independent UAP (NSW),Independent UAP (NSW),Independent UAP (NSW),none,no family,,,,,,,,,,,,,33,1941,12
AUS,Australia,Katter,Katter's Australian Party,Katter's Australian Party,Katter's Australian Party,soc,Social democracy,3.3,3.5,3.5,,,,,,,,,,33,2258,11
AUS,Australia,LCL,Liberal and Country League,Liberal and Country League,Liberal and Country League,soc,Social democracy,3.3,3.5,3.5,,,,,,,,,,33,1919,11
AUS,Australia,LCP-V,Liberal Country Party (Vic),Liberal Country Party (Vic),Liberal Country Party (Vic),agr,Agrarian,5.3,4.9,6.5,,,,,,,,,,33,1939,2
AUS,Australia,LD-NSW,Liberal Democratic Party (New South Wales),Liberal Democratic Party (New South Wales),Liberal Democratic Party (New South Wales),lib,Liberal,6.0,6.7,3.6,,,,,,,,,,33,1927,6
AUS,Australia,LLP,Lang Labour Party,Lang Labour Party,Lang Labour Party,soc,Social democracy,3.3,3.5,3.5,,,,,,,,,,33,303,11
AUS,Australia,LNPQ,Liberal National Party of Queensland,Liberal National Party of Queensland,Liberal National Party of Queensland,lib,Liberal,6.0,6.7,3.6,,,,,,,,,,33,154,6
AUS,Australia,LP,Liberal Party,Liberal Party,Liberal Party,con,Conservative,7.4,6.4,7.0,,,,,,,,,,33,2286,26
AUS,Australia,LPA,Liberal Party of Australia,Liberal Party of Australia,Liberal Party of Australia,con,Conservative,7.3903,8.4211,6.9825,,63620,,,103,205,,4757,,33,1411,26
AUS,Australia,NAT,Nationalist Party of Australia,Nationalist Party of Australia,Nationalist Party of Australia,right,Right-wing,8.8,5.9,8.5,,,,,,,,,,33,1905,40
AUS,Australia,NAT-WA,Nationalist,Nationalist,Nationalist,con,Conservative,7.4,6.4,7.0,,,,,,,,,,33,1925,26
AUS,Australia,NCP|NPA,National (Country) Party | National Party of Australia,National (Country) Party | National Party of Australia,National (Country) Party | National Party of Australia,con,Conservative,7.8222,6.2456,8.4561,,63810,,,104,206,,4775,,33,184,26
AUS,Australia,NF-NSW,Nationalist and Farmers (NSW),Nationalist and Farmers (NSW),Nationalist and Farmers (NSW),code,to be coded,,,,,,,,,,,,,33,1918,28
AUS,Australia,NL,National Labor,National Labor,National Labor,soc,Social democracy,3.3,3.5,3.5,,,,,,,,,,33,2003,11
AUS,Australia,NXT,Nick Xenophon Team,Nick Xenophon Team,Nick Xenophon Team,lib,Liberal,6.0,6.7,3.6,,,,,,,,,,33,2630,6
AUS,Australia,ONP,One Nation Party,One Nation Party,One Nation Party,right,Right-wing,8.1579,5.3008,7.9649,,,,,,,,4793,,33,386,40
AUS,Australia,OPA,One Parliament for Australia,One Parliament for Australia,One Parliament for Australia,code,to be coded,,,,,,,,,,,,,33,1936,28
AUS,Australia,PP,Protectionist Party,Protectionist Party,Protectionist Party,con,Conservative,7.4,6.4,7.0,,,,,,,,,,33,1898,26
AUS,Australia,PUP,Palmer United Party,Palmer United Party,Palmer United Party,lib,Liberal,6.0,6.7,3.6,,,,,,,,,,33,2259,6
AUS,Australia,QC,Queensland Country Party,Queensland Country Party,Queensland Country Party,con,Conservative,7.4,6.4,7.0,,,,,,,,,,33,1928,26
AUS,Australia,SCP,Social Credit Party,Social Credit Party,Social Credit Party,spec,Special issue,,,,,,,,,,,,,33,1911,16
AUS,Australia,SL-NSW,State Labor Party (NSW),State Labor Party (NSW),State Labor Party (NSW),com,Communist/Socialist,1.3,1.4,3.0,,,,,,,,,,33,1908,14
AUS,Australia,SPA,Services Party of Australia,Services Party of Australia,Services Party of Australia,code,to be coded,,,,,,,,,,,,,33,1897,28
AUS,Australia,UAP,United Australia Party,United Australia Party,United Australia Party,con,Conservative,7.4,6.4,7.0,,,,,,,,,,33,1912,26
AUS,Australia,VCP,Victorian Country Party,Victorian Country Party,Victorian Country Party,con,Conservative,7.4,6.4,7.0,,,,,,,,,,33,1920,26
AUS,Australia,VFU-V,Victorian Farmers' Union,Victorian Farmers' Union,Victorian Farmers' Union,agr,Agrarian,5.3,4.9,6.5,,,,,,,,,,33,1929,2
AUS,Australia,WAP,Western Australian Party,Western Australian Party,Western Australian Party,lib,Liberal,6.0,6.7,3.6,,,,,,,,,,33,1906,6
AUS,Australia,no-seat,no seat,no seat,no seat,none,no family,,,,,,,,,,,,,33,2057,12
AUS,Australia,none,no party affiliation,no party affiliation,no party affiliation,none,no family,,,,,,,,,,,,,33,1396,12
AUS,Australia,one-seat,one seat,one seat,one seat,none,no family,,,,,,,,,,,,,33,2299,12
AUT,Austria,ALO,Alternative List Austria,Alternative Liste Österreichs,Alternative Liste Oesterreichs,eco,Green/Ecologist,2.5,2.5,1.8,6.5,,,,,,,,,59,1739,19
AUT,Austria,BD,Centrist Democrats,Bürgerliche Demokraten,Buergerliche Demokraten,lib,Liberal,6.0,6.7,3.6,8.7,,,,,,,,,59,2688,6
AUT,Austria,BZO,Alliance for the Future of Austria,Bündnis Zukunft Österreich,Buendnis Zukunft Oesterreich,right,Right-wing,8.83,6.0,8.83,2.5,,8,1040600,,,,,1307,59,1536,40
AUT,Austria,CSA,Christian Social Alliance (Karl Habsburg List),Christlich Soziale Allianz (Liste Karl Habsburg),Christlich Soziale Allianz (Liste Karl Habsburg),chr,Christian democracy,6.2,5.7,7.1,8.3,,,,,,,,,59,1752,3
AUT,Austria,DD,German-Democrats,Deutschdemokraten,Deutschdemokraten,lib,Liberal,6.0,6.7,3.6,8.7,,,,,,,,,59,2675,6
AUT,Austria,DFP,Democratic Progressive Party,Demokratische Fortschrittliche Partei,Demokratische Fortschrittliche Partei,right,Right-wing,8.8,5.9,8.5,2.3,,,,,,,,,59,1743,40
AUT,Austria,DNP,German-Nationals,Deutschnationale,Deutschnationale,con,Conservative,7.4,6.4,7.0,7.9,,,,,,,,,59,2672,26
AUT,Austria,DNSAP,National Socialist Workers' Party,Nationalsozialistische Arbeiterpartei,Nationalsozialistische Arbeiterpartei,right,Right-wing,8.8,5.9,8.5,2.3,,,,,,,,,59,2684,40
AUT,Austria,DU,The Independents -- Lugner's List,Die Unabhängigen – Liste Lugner,Die Unabhaengigen -- Liste Lugner,spec,Special issue,,,,,,,,,,,,,59,1745,16
AUT,Austria,DVP,German People's Party,Deutsche Volkspartei,Deutsche Volkspartei,con,Conservative,7.4,6.4,7.0,7.9,,,,,,,,,59,2673,26
AUT,Austria,EU-STOP,"EU Withdrawal, Direct Democracy, Neutrality","EU-Austritt, Direkte Demokratie, Neutralität","EU-Austritt, Direkte Demokratie, Neutralitaet",spec,Special issue,,,,,,,,,,,,,59,2340,16
AUT,Austria,FPO,Freedom Party of Austria,Freiheitliche Partei Österreichs,Freiheitliche Partei Oesterreichs,right,Right-wing,8.3494,6.3291,8.5149,1.9815,42420,10,1040420,204,311,1303,4811,1303,59,50,40
AUT,Austria,Fritz,The Citizens' Forum Austria,Bürgerforum Österreich – Liste Fritz Dinkhauser,Buergerforum Oesterreich -- Liste Fritz Dinkhauser,soc,Social democracy,3.3,3.5,3.5,8.1,,,,,,,,,59,1746,11
AUT,Austria,GDVP,Greater German People's Party,Großdeutsche Volkspartei,Grossdeutsche Volkspartei,con,Conservative,7.4,6.4,7.0,7.9,,,,,,,,,59,2674,26
AUT,Austria,GFOP,German Freedom and Order Party,Deutsche Freiheits und Ordnungspartei,Deutsche Freiheits und Ordnungspartei,right,Right-wing,8.8,5.9,8.5,2.3,,,,,,,,,59,2676,40
AUT,Austria,GILT,My Vote Counts!,Liste Roland Düringer – Meine Stimme GILT,Liste Roland Dueringer -- Meine Stimme GILT,spec,Special issue,,,,,,,,,,,,,59,2652,16
AUT,Austria,Gruene,The Greens -- The Green Alternative,Die Grünen – Die Grüne Alternative,Die Gruenen -- Die Gruene Alternative,eco,Green/Ecologist,2.4604,2.7489,1.4308,6.6845,42110,9,1040110,,307,1304,4829,1304,59,1429,19
AUT,Austria,HB,Homeland Block,Heimatblock,Heimatblock,right,Right-wing,8.8,5.9,8.5,2.3,,,,,,,,,59,2685,40
AUT,Austria,KB,Carinthian Farmers' Association,Kärtner Bauernbund,Kartner Bauernbund,agr,Agrarian,5.3,4.9,6.5,5.4,,,,,,,,,59,2678,2
AUT,Austria,KPO,Communist Party of Austria,Kommunistische Partei Österreichs,Kommunistische Partei Oesterreichs,com,Communist/Socialist,0.5,1.4,3.0,0.0,42220,3,1040220,201,,1305,,,59,769,14
AUT,Austria,L,Rural Federation,Landbund für Österreich,Landbund fuer Oesterreich,right,Right-wing,8.8,5.9,8.5,2.3,,,,,,,,,59,2681,40
AUT,Austria,LIF,Liberal Forum,Liberales Forum,Liberales Forum,lib,Liberal,4.8806,7.3667,1.8667,9.6125,42421,,1040422,,310,1306,,1306,59,955,6
AUT,Austria,Martin,Hans-Peter Martin's List,Liste Dr. Hans-Peter Martin,Liste Dr. Hans-Peter Martin,spec,Special issue,4.2,5.0,3.4,2.85,,,1040951,,,,,1308,59,669,16
AUT,Austria,N,Citizens' Initiative for the retention of neutrality,Die Neutralen – Bürgerinitiative,Die Neutralen -- Buergerinitiative,spec,Special issue,,,,,,,,,,,,,59,1750,16
AUT,Austria,NDP,National Democratic Party,Nationaldemokratische Partei,Nationaldemokratische Partei,right,Right-wing,8.8,5.9,8.5,2.3,,,,,,,,,59,2679,40
